phn,gp_services_per_100,breastscreen_pct,barrier_low_screening,barrier_high_gp_low_yield,pct_overseas_born,pct_recent_migrants,pct_non_english_households,family_complexity,delayed_gp_access,barrier_overseas_born,barrier_recent_migrants,barrier_non_english,barrier_family_complexity,barrier_delayed_gp,access_barriers_index,index_rank
Western Sydney,696.50,44.43,100.00,100.00,0.35,0.21,0.04,0.75,0.29,50.00,50.00,50.00,50.00,50.00,72.22,1
South Western Sydney,754.25,48.14,75.29,99.88,0.35,0.21,0.04,0.75,0.29,50.00,50.00,50.00,50.00,50.00,66.71,2
Nepean Blue Mountains,750.82,49.03,69.32,94.05,0.35,0.21,0.04,0.75,0.29,50.00,50.00,50.00,50.00,50.00,64.08,3
Northern Sydney,585.99,50.00,62.88,35.12,0.35,0.21,0.04,0.75,0.29,50.00,50.00,50.00,50.00,50.00,49.56,4
Central & Eastern Sydney,558.23,52.90,43.54,15.97,0.35,0.21,0.04,0.75,0.29,50.00,50.00,50.00,50.00,50.00,41.00,5
North Coast,657.77,55.98,22.97,35.60,0.35,0.21,0.04,0.75,0.29,50.00,50.00,50.00,50.00,50.00,40.79,6
Hunter New England and Central Coast,612.32,56.28,21.01,21.34,0.35,0.21,0.04,0.75,0.29,50.00,50.00,50.00,50.00,50.00,37.19,7
South Eastern Sydney,663.51,58.05,9.22,30.38,0.35,0.21,0.04,0.75,0.29,50.00,50.00,50.00,50.00,50.00,36.58,8
Western NSW,547.44,57.15,15.19,0.00,0.35,0.21,0.04,0.75,0.29,50.00,50.00,50.00,50.00,50.00,31.15,9
Murrumbidgee,616.10,59.43,0.00,12.93,0.35,0.21,0.04,0.75,0.29,50.00,50.00,50.00,50.00,50.00,30.65,10
