phn,gp_services_per_100,phn_code,breastscreen_pct,cervical_pct,bowel_pct,mean_screening_pct,min_screening_pct,gp_screening_gap,gp_screening_gap_index,gap_rank,quadrant,gp_vs_breastscreen,gp_vs_cervical,gp_vs_bowel
South Western Sydney,754.25,PHN105,44.46,55.78,36.70,45.65,36.70,16.52,100.00,1,High GP / low screening,16.96,13.52,20.55
Nepean Blue Mountains,750.82,PHN104,47.37,56.40,39.16,47.64,39.16,15.76,86.40,2,High GP / low screening,15.85,13.31,19.17
Western Sydney,696.50,PHN103,44.36,55.41,35.57,45.11,35.57,15.44,80.70,3,High GP / low screening,15.70,12.57,19.58
South Eastern Sydney,663.51,PHN106,53.79,61.84,43.32,52.98,43.32,12.52,28.60,4,High GP / higher screening,12.34,10.73,15.32
North Coast,657.77,PHN109,55.89,63.25,40.99,53.38,40.99,12.32,25.00,5,High GP / higher screening,11.77,10.40,16.05
Murrumbidgee,616.10,PHN110,58.19,54.56,40.31,51.02,40.31,12.08,20.70,6,Lower GP / higher screening,10.59,11.29,15.28
Hunter New England and Central Coast,612.32,PHN108,55.67,61.37,41.87,52.97,41.87,11.56,11.40,7,Lower GP / higher screening,11.00,9.98,14.62
Central & Eastern Sydney,558.23,PHN101,45.46,64.53,37.23,49.07,37.23,11.38,8.20,8,Lower GP / low screening,12.28,8.65,14.99
Western NSW,547.44,PHN107,55.92,54.85,37.44,49.40,37.44,11.08,2.90,9,Lower GP / low screening,9.79,9.98,14.62
Northern Sydney,585.99,PHN102,48.51,69.34,43.11,53.65,43.11,10.92,0.00,10,Lower GP / higher screening,12.08,8.45,13.59
